City_d,City,Cloudiness,Country,Dt,Humidity,Lat,Lng,Max_temp,Wind_speed
0,Ushuaia,40,AR,1544212800,44,-54.81,-68.31,17,15.4
1,Qaanaaq,36,GL,1544214466,93,77.48,-69.36,-17.62,4.1
2,Barrow,0,AR,1544214592,33,-38.31,-60.23,25.98,2.4
3,Yellowknife,75,CA,1544209200,91,62.45,-114.38,-16,3.6
4,Mayor Pablo Lagerenza,68,PY,1544213992,67,-19.93,-60.77,24.36,7.3
5,Vestmannaeyjar,80,IS,1544214592,100,63.44,-20.27,1.46,2.65
6,Georgetown,40,GY,1544212800,83,6.8,-58.16,29,5.1
7,Vila Franca do Campo,0,PT,1544211000,45,37.72,-25.43,19,1.5
8,Mataura,88,NZ,1544213993,69,-46.19,168.86,15.76,4.6
9,Porto Belo,75,BR,1544212800,60,-27.15,-48.54,22,6.2
10,Albany,1,US,1544212680,39,42.65,-73.75,-1.1,7.7
11,Dunedin,68,NZ,1544213809,83,-45.87,170.5,15.86,1.75
12,Lompoc,20,US,1544212560,53,34.64,-120.46,19.4,1.5
13,Bharatpur,0,NP,1544213994,82,27.68,84.43,9.48,2
14,Busselton,0,AU,1544213994,100,-33.64,115.35,13.31,3.95
15,Ukiah,40,US,1544212560,82,39.15,-123.21,7.8,1.2
16,Port Alfred,56,ZA,1544213994,93,-33.59,26.89,20.81,0.75
17,Mar del Plata,0,AR,1544213994,19,-46.43,-67.52,33.36,4.75
18,Victoria,75,BN,1544212800,94,5.28,115.24,26,1.5
19,Kapaa,75,US,1544212560,62,22.08,-159.32,25.6,7.7
20,Cape Town,0,ZA,1544212800,82,-33.93,18.42,15,1
21,Vaini,20,IN,1544213995,91,15.34,74.49,19.16,1.1
22,Hobart,75,AU,1544211000,82,-42.88,147.33,17,1
23,Hilo,90,US,1544212380,71,19.71,-155.08,25.6,5.1
24,Impfondo,24,CD,1544213995,95,1.62,18.06,22.58,0.95
25,Puerto Ayora,75,EC,1544212800,54,-0.74,-90.35,28,8.2
26,Avarua,75,CK,1544212800,66,-21.21,-159.78,29,5.1
27,Tocopilla,12,CL,1544213995,66,-22.09,-70.2,21.56,4.4
28,Narsaq,0,GL,1544213996,55,60.91,-46.05,-14.9,1.4
29,Hithadhoo,92,MV,1544213996,100,-0.6,73.08,25.91,4.15
30,Pisco,75,PE,1544212800,30,-13.71,-76.2,22,3.1
31,Teguise,20,ES,1544212800,82,29.06,-13.56,19,4.1
32,Coalinga,40,US,1544212560,80,36.14,-120.36,15,2.1
33,Gacko,0,BA,1544213996,89,43.17,18.53,-6.15,0.8
34,Saskylakh,76,RU,1544213997,71,71.97,114.09,-18.85,4
35,Ilulissat,75,GL,1544212200,67,69.22,-51.1,-8,4.1
36,Raudeberg,75,NO,1544212200,93,61.99,5.14,5,6.7
37,Maniitsoq,48,GL,1544213997,100,65.42,-52.9,-8.65,1.65
38,Sao Joao da Barra,90,BR,1544212800,69,-21.64,-41.05,25,4.1
39,Punta Arenas,0,CL,1544212800,36,-53.16,-70.91,16,13.4
40,Nantucket,1,US,1544212500,38,41.28,-70.1,4.4,5.1
41,Rawson,0,AR,1544213998,19,-43.3,-65.11,35.76,3.3
42,Chapais,90,CA,1544211420,70,49.78,-74.86,-19,2.6
43,Bluff,88,AU,1544213998,70,-23.58,149.07,22.16,6.7
44,Bethel,40,US,1544212560,96,60.79,-161.76,-8.9,4.6
45,Torbay,75,CA,1544209200,79,47.66,-52.73,-2,7.2
46,Castro,0,CL,1544209200,47,-42.48,-73.76,25,3.6
47,Mackay,40,CA,1544212800,57,53.65,-115.58,-5,1.5
48,Atuona,64,PF,1544214000,100,-9.8,-139.03,27.16,8.35
49,New Norfolk,0,AU,1544212800,77,-42.78,147.06,18,2.6
